store_id,forecast_days,avg_actual_sales,avg_forecast_sales,avg_absolute_error,avg_percentage_error
CA_1,28,4569.821428571428,4479.453203245245,195.00909401354264,4.203053979160156
CA_4,28,2650.464285714286,2656.25697077439,115.39655182514853,4.503819230474291
CA_2,28,4465.392857142857,4435.566235799834,216.3868110593178,4.690288899811329
TX_3,28,3800.785714285714,3792.053503384691,188.9565775321348,5.200547509453825
TX_1,28,3313.4285714285716,3380.7563760517965,162.94483032271208,5.307342298986915
WI_3,28,3993.214285714286,3960.4553440404643,208.70486659605174,5.351772828346455
CA_3,28,6320.428571428572,6577.882645996014,339.2463823181029,5.69232378124262
WI_1,28,3831.464285714286,3825.196181428289,245.69197835772957,6.09256281555497
TX_2,28,3932.3571428571427,4226.69681582746,320.81611532143825,8.86717047757727
WI_2,28,5395.0,5116.456360171838,529.23451760886,9.439917409551851
