forecast_level,scope,number_of_series,best_series,best_mape,weakest_series,weakest_mape,average_mape
category,CA_1 store categories,3,FOODS,4.096004494983059,HOBBIES,13.46993185967629,7.510089542582887
department,CA_1 store departments,7,FOODS_3,4.25219388213773,FOODS_1,25.298691894615605,12.972552265606144
store,All 10 stores,10,CA_1,4.203053979160156,WI_2,9.439917409551851,5.934879923015968
item,Top 10 CA_1 items,10,FOODS_3_586,17.46157762019681,FOODS_3_120,143.95454402466802,54.129874416339774
