category,feature_set,order,seasonal_order,MAE,RMSE,MAPE,AIC,converged
FOODS,snap_only,"(1, 1, 1)","(1, 1, 1, 7)",119.95348583074079,148.82786477669805,4.096004494983059,26697.407221436086,True
FOODS,snap_weekday_month_event,"(1, 1, 0)","(1, 1, 1, 7)",128.50210789142932,160.71761256258222,4.317983612640903,27210.36845019946,True
HOBBIES,snap_only,"(0, 1, 1)","(0, 1, 1, 7)",77.20062911238192,96.8057844457262,13.46993185967629,22035.004707535467,True
HOBBIES,snap_weekday_month_event,"(0, 1, 1)","(0, 1, 1, 7)",80.05589047199055,90.38105638238166,15.396758568672267,22067.163877151816,False
HOUSEHOLD,snap_only,"(1, 1, 1)","(1, 1, 1, 7)",52.753027110692734,72.49592333553986,4.964332273089314,22086.52284911802,True
HOUSEHOLD,snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",67.47380070475029,89.68743193342436,6.363999431705011,22139.80663553186,False
